season,date,city,state
1879-1880,1879-09-01,Newark,NJ
1879-1880,1879-09-02,Yonkers,NY
1879-1880,1879-09-03,Newburgh,NY
1879-1880,1879-09-04,Kingston,NY
1879-1880,1879-09-05,Poughkeepsie,NY
1879-1880,1879-09-06,Albany,NY
1879-1880,1879-09-09,Troy,NY
1879-1880,1879-09-10,Cohoes,NY
1879-1880,1879-09-11,Schenectady,NY
1879-1880,1879-09-12,Syracuse,NY
1879-1880,1879-09-13,Oswego,NY
1879-1880,1879-09-14,Utica,NY
1879-1880,1879-09-16,Auburn,NY
1879-1880,1879-09-17,Rochester,NY
1879-1880,1879-09-18,Rochester,NY
1879-1880,1879-09-19,Rochester,NY
1879-1880,1879-09-20,Buffalo,NY
1879-1880,1879-09-21,Buffalo,NY
1879-1880,1879-09-22,Dunkirk,NY
1879-1880,1879-09-23,Erie,PA
1879-1880,1879-09-24,Sharon,PA
1879-1880,1879-09-25,Newcastle,PA
1879-1880,1879-09-26,Youngstown,OH
1879-1880,1879-09-27,Cleveland,OH
1879-1880,1879-09-29,Cleveland,OH
1879-1880,1879-09-30,Sandusky,OH
1879-1880,1879-10-01,Toledo,OH
1879-1880,1879-10-02,Ann Arbor,MI
1879-1880,1879-10-03,Detroit,MI
1879-1880,1879-10-04,Detroit,MI
1879-1880,1879-10-06,Port Huron,MI
1879-1880,1879-10-07,Bay City,MI
1879-1880,1879-10-08,Saginaw,MI
1879-1880,1879-10-09,Lansing,MI
1879-1880,1879-10-10,Grand Rapids,MI
1879-1880,1879-10-11,Jackson,MI
1879-1880,1879-10-13,Chicago,IL
1879-1880,1879-10-14,Chicago,IL
1879-1880,1879-10-15,Chicago,IL
1879-1880,1879-10-16,Chicago,IL
1879-1880,1879-10-17,Chicago,IL
1879-1880,1879-10-18,Chicago,IL
1879-1880,1879-10-19,Chicago,IL
1879-1880,1879-10-20,Racine,WI
1879-1880,1879-10-21,Janesville,WI
1879-1880,1879-10-22,Madison,WI
1879-1880,1879-10-23,Milwaukee,WI
1879-1880,1879-10-24,Milwaukee,WI
1879-1880,1879-10-25,Milwaukee,WI
1879-1880,1879-10-27,Joliet,IL
1879-1880,1879-10-28,Bloomington,IL
1879-1880,1879-10-29,Peoria,IL
1879-1880,1879-10-30,Jacksonville,IL
1879-1880,1879-10-31,Springfield,IL
1879-1880,1879-11-01,Decatur,IL
1879-1880,1879-11-02,St. Louis,MO
1879-1880,1879-11-03,St. Louis,MO
1879-1880,1879-11-04,St. Louis,MO
1879-1880,1879-11-05,St. Louis,MO
1879-1880,1879-11-06,St. Louis,MO
1879-1880,1879-11-07,St. Louis,MO
1879-1880,1879-11-08,St. Louis,MO
1879-1880,1879-11-10,Terre Haute,IN
1879-1880,1879-11-11,Terre Haute,IN
1879-1880,1879-11-12,Evansville,IN
1879-1880,1879-11-13,Louisville,KY
1879-1880,1879-11-14,Louisville,KY
