theater;city;state;years1;years2;years3;years4;years5;years6
Actor's Theatre;Plainfield;NJ;1950s;;;;;
Actors' Theatre;Nantasket;MA;1940s;;;;;
Actors' Workshop Guild;San Francisco;CA;1960s;;;;;
Adelphi College Summer Theatre;Garden City;NY;1940s;;;;;
Adirondack Theatre Festival;Glen Falls;NY;1994-;;;;;
Albany Stock Company;Albany;NY;1940s;;;;;
Alden Tehatre;Jamaica;NY;1930s;;;;;
Allegheny Highlands Regional Theatre;Ebensburg;PA;1974-;;;;;
Allenberry Playhouse;Boiling Springs;PA;1948-;;;;;
Ambassador Music Hall;Fallsburg;NY;1930s;;;;;
American Players Theatre;Spring Green;WI;1979-;;;;;
Andy's Summer Playhouse;Wilton;NH;1970-;;;;;
Ann Arbor Drama Festival;Ann Arbor;MI;1930s;;;;;
Antioch Area Theatre;Yellow Springs & Toledo;OH;1950s;;;;;
Arena Summer Theatre;Williamsport;PA;1964-;;;;;
Arena Theatre;Orleans;MA;1950s;;;;;
Arrow Rock Lyceum Theatre;Arrow Rock;MO;1961-;;;;;
Artists' Theatre;Arden;DE;1950s;;;;;
Artpark;Lewiston;NY;1974-;;;;;
Arundel Barn Playhouse;Arundel;ME;1998-;;;;;
Arundel Opera Theatre;Kennebunk;ME;1950s;;;;;
Astor Theatre;East Hartford;CT;1950s;;;;;
Atlantic Repertory;Atlantic City;NJ;1930s;;;;;
Attic Theatre;Appleton;WI;1950s;;;;;
Avondale Playhouse;Laurel;MD;1950s;;;;;
Avondale Summer Theatre;Indianapolis;IN;1950s;1960s;;;;
Bakersfield Playhouse;Bakersfield;CA;1960s;;;;;
Band Box Theatre;Suffield;CT;1930s;;;;;
Bar Harbor Players;Bar Harbor;ME;1930s;1940s;1950s;;;
Bard Theatre;Annandale-on-Hudson;NY;1930s;;;;;
Barn Playhouse;Bolton Landing;NY;1950s;;;;;
Barn Theatre;Augusta;MI;1946-;;;;;
Barnstages;Nantucket;MA;1950s;;;;;
The Barnstormers;Tamworth;NH;1931-;;;;;
Barrington Stage Company;Great Barrington;MA;1995-;;;;;
Barter Theatre;Abingdon;VA;1933-;;;;;
Bass Rocks Theatre;Gloucester;MA;1930s;1940s;;;;
Batavia Summer Theatre;Batavia;NY;1950s;;;;;
Bay Shore Community Players;Bay Shore;NY;1930s;;;;;
Bayshore Summer Theatre;Bay Shore;NY;1950s;;;;;
Beach Theatre;West Falmouth;MA;1930s;;;;;
Beach Theatre;Ocean City;NJ;1940s;;;;;
Beacon Summer Theatre;Beacon;NY;1950s;;;;;
Bedford Springs Playhouse;Bedford Springs;PA;1960s;;;;;
Beechwood Theatre;Scarborough;NY;1930s;;;;;
