theater,city,state
Jefferson Theatre,Portland,ME
Empire Theatre,Lewiston,ME
Opera House,Bangor,ME
Opera House,Augusta,ME
City Opera House,Biddeford,ME
City Opera House,Waterville,ME
Farwell Opera House,Rockland,ME
Columbia Theatre,Bath,ME
Opera House,Rumford,ME
Music Hall,Livermore Falls,ME
New Town Hall,Sanford,ME
Opera House,Dixfield,ME
Coliseum Theatre,Gardner,ME
Moulton Opera House,Laconia,NH
Nashua Theatre,Nashua,NH
Auditorium,Concord,NH
Opera House,Franklin,NH
Music Hall,Portsmouth,NH
Dover Opera House,Dover,NH
Bell Theatre,Berlin,NH
New Opera House,Exeter,NH
Opera House,Lawrence,MA
Lowell Opera House,Lowell,MA
Salem Theatre,Salem,MA
Empire Theatre,Salem,MA
Academy Of Music,Haverhill,MA
Lynn Theatre,Lynn,MA
City Theatre,Brockton,MA
Taunton Theatre,Taunton,MA
Savoy Theatre,Fall River,MA
Academy Of Music,Fall River,MA
New Bedford Theatre,New Bedford,MA
Colonial Theatre,Pittsfield,MA
Empire Theatre,North Adams,MA
Holyoke Opera House,Holyoke,MA
Union Hill Theatre,Gloucester,MA
Cummings Theatre,Fitchburg,MA
Music Hall,Webster,MA
Morse Opera House,Franklin,MA
Gardner Theatre,Gardner,MA
Town Hall,Spencer,MA
Court Square Theatre,Springfield,MA
Music Hall,Milford,MA
Ware Opera House,Ware,MA
Worcester Theatre,Worcester,MA
Tremont Opera House,Southbridge,MA
Harmanus Bleecker Theatre,Albany,NY
Smith's Opera House,Geneva,NY
Darling Theatre,Gloversville,NY
The Pember,Granville,NY
Empire Theatre,Glens Falls,NY
Van Curler Opera House,Schenectady,NY
Fehr's Opera House,Portchester,NY
Colonial Theatre,Peekskill,NY
Kingston Opera House,Kingston,NY
Academy Of Music,Newburgh,NY
The Stratton,Middletown,NY
The Casino,Port Jervis,NY
Richardson Theatre,Oswego,NY
Oneonta Theatre,Oneonta,NY
New Rochelle Theatre,New Rochelle,NY
Didsbury Theatre,Walden,NY
Union Opera House,Ticonderoga,NY
Cohoes Opera House,Cohoes,NY
Woods Opera House,Hoosick Falls,NY
Nelida Theatre,Catskiii,NY
City Opera House,Mt. Vernon,NY
Music Hall,Tarrytown,NY
Olive Opera House,Ossinning,NY
Waldron Opera House,Haverstraw,NY
Opera House,Rome,NY
Greenwich Theatre,Greenwich,NY
Warburton Theatre,Yonkers,NY
Opera House,Mercer,PA
Opera House,Coatesville,PA
Temple Theatre,St. Mary's,PA
Opera House,Milton,PA
Lansford Opera House,Lansford,PA
Grand Opera House,Ashland,PA
Burnside Post Opera House,Mt. Carmel,PA
St. Clair Theatre,Greensburg,PA
Rosedale Theatre,Chambersburg,PA
Casino Theatre,Vandergrift,PA
Majestic Theatre,Butler,PA
Morley Theatre,Barnesboro,PA
Opera House,Mt. Pleasant,PA
Opera House,Kaylor,PA
Geyers Opera House,Scottdale,PA
Opera House,Huntingdon,PA
Opera House,Columbia,PA
Opera House,Irwin,PA
Lyceum Theatre,Kittanning,PA
White's Theatre,McKeesport,PA
Opera House,Waynesburg,PA
Colonial Theatre,Akron,OH
Columbia Theatre,Bellaire,OH
Grand Opera House,Canton,OH
Ceramic Theatre,East Liverpool,OH
Opera House,Steubenville,OH
Park Theatre,Youngstown,OH
New Armory Theatre,Massillon,OH
Andes Opera House,Fostoria,OH
Grand Opera House,Tiffin,OH
Gilger Theatre,Norwalk,OH
Richland Opera House,Shelby,OH
City Opera House,Delaware,OH
Auditorium,Van Wert,OH
Grand Opera House,Portsmouth,OH
Grand Opera House,Circleville,OH
Auditorium Theatre,Marietta,OH
Faurot Opera House,Lima,OH
Columbus Theatre,Alliance,OH
The Gallipolis,Gallipolis,OH
Pomeroy Opera House,Pomeroy,OH
Crescent Opera House,Jackson,OH
Colonial Theatre,Cambridge,OH
Opera House,Wilmington,OH
Park Theatre,Mt. Vernon,OH
Citizens Opera House,Defiance,OH
Majestic Theatre,Findlay,OH
Opera House,Niles,OH
Brown Theatre,Wapakoneta,OH
Smiley Opera House,Lisbon,OH
Opera House,Kenton,OH
Bucyrus Opera House,Bucyrus,OH
City Opera House,Galion,OH
Bates Opera House,Attleboro,MA
Academy Of Music,Northampton,MA
Mahaiwe Theatre,Great Barrington,MA
Opera House,Athol,MA
Rockland Opera House,Rockland,MA
Gem Theatre,Westfield,MA
The Strong,Burlington,VT
Blanchard's Opera House,Montpelier,VT
Opera House,Barre,VT
Opera House,Rutland,VT
Chandler Music Hall,Randolph,VT
Opera House,Newport,RI
Woonsocket Opera House,Woonsocket,RI
Thornton Opera House,Riverpoint,RI
Bliven Opera House,Westerly,RI
Maryland Theatre,Cumberland,MD
City Opera House,Havre de Grace,MD
Frostburg Opera House,Frostburg,MD
Redmen's Hall,Brunswick,MD
Bijou Theatre,Frederick,MD
Ashland Theatre,Ashland,KY
Parsons' Theatre,Hartford,CT
Hyperion Theatre,New Haven,CT
Smith's Theatre,Bridgeport,CT
Poli's Theatre,Waterbury,CT
Opera House,Winsted,CT
Taylor's Opera House,Danbury,CT
Thomaston Opera House,Thomaston,CT
Poli's New Theatre,Meriden,CT
Lyceum Theatre,New London,CT
Broadway Theatre,Norwich,CT
The Middlesex,Middletown,CT
Russwin Lyceum,New Britain,CT
Torrington Opera House,Torrington,CT
Hoyt's Theatre,South Norwalk,CT 
Sterling Opera House,Derby,CT
Bradley Theatre,Putnam,CT
Grand Opera House,New Canaan,CT
Family Theatre,Stamford,CT
Loomer Opera House,Willimantic,CT
Nixon's Apollo Theatre,Atlantic City,NJ
New Savoy Theatre,Atlantic City,NJ
Paterson Opera House,Paterson,NJ
Lyceum Theatre,Elizabeth,NJ
Plainfield Theatre,Plainfield,NJ
Casino Pier Theatre,Asbury Park,NJ
Taylor Opera House,Trenton,NJ
Frick's Lyceum,Redbank,NJ
Harris Lyceum,Boonton,NJ
Opera House,Perth Amboy,NJ
West End Casino,Long Branch,NJ
Auditorium,Burlington,NJ
Opera House,New Brunswick,NJ
Rahway Opera House,Rahway,NJ
Grand Opera House,Salem,NJ
Auditorium,Vineland,NJ
Swisher Theatre,Morgantown,WV
Grand Opera House,Morgantown,WV
Auditorium,Parkersburg,WV
Theatre Camden,Parkersburg,WV
Grand Opera House,New Martinsville,WV
The Huntington,Huntington,WV
Court Theatre,Wheeling,WV
Camden Opera House,Weston,WV
Opera House,Holden,WV
Lyric Theatre,Allentown,PA
Able Opera House,Easton,PA
Fulton Opera House,Lancaster,PA
York Opera House,York,PA
The New Mishler,Altoona,PA
Cambria Theatre,Johnstown,PA
Opera House,Myersdale,PA
G.A.R. Opera House,Shamokin,PA
Soisson Theatre,Connellsville,PA
Monessen Opera House,Monessen,PA
P.O.S. of A. Opera House,Berwick,PA
Byers' Theatre,Jeannette,PA
New Majestic Theatre,Rochester,PA
Kaier's Grand Opera House,Mahanoy City,PA
New Nixon Theatre,Uniontown,PA
Nixon Theatre,Tarentum,PA
Carlisle Opera House,Carlisle,PA
Nixon Theatre,Washington,PA
Lyceum Theatre,Beaver Falls,PA
New Opera House,Newcastle,PA
Opera House,Blairsville,PA
Grand Opera House,Hazleton,PA
Assembly Building,West Chester,PA
Opera House,Oil City,PA
Opera House,Woodsfield,OH
City Opera House,Wooster,OH
Chestnut Street Theatre,Lancaster,OH
Opera House,Kent,OH
Grand Opera House,St. Mary's,OH
Opera House,Sebring,OH
Smith's Theatre,Hamilton,OH
Weller Theatre,Zanesville,OH
Sorg Opera House,Middletown,OH
Fairbank's Theatre,Springfield,OH
Majestic Theatre,Lorain,OH
Grand Theatre,Sandusky,OH
Elyria Theatre,Elyria,OH
Auditorium,Newark,OH
Republic Theatre,Conneaut,OH
Opera House,Mansfield,OH
Grand Opera House,Marion,OH
Masonic Opera House,Chillicothe,OH
Opera House,Napoleon,OH
Orpheum Theatre,Sidney,OH
Grand Opera House,Warren,OH
Majestic Theatre,Waverly,OH
Grand Opera House,Lafayette,IN
Majestic Theatre,Ft. Wayne,IN
Nelson Theatre,Logansport,IN
Wysor's Grand Opera House,Muncie,IN
Grand Opera House,Terre Haute,IN
Grand Opera House,Anderson,IN
The Sourwine,Brazil,IN
Grand Opera House,Michigan City,IN
Schwartz Theatre,Waukegon,IL
Washington Theatre,Bay City,MI
Academy,Saginaw,MI
The Grand,Muskegon,MI
Majestic Theatre,Port Huron,MI
Post Theatre,Battle Creek,MI
Croswell Opera House,Adrian,MI
Racine Theatre,Racine,WI
Grand Opera House,Wilmington,DE
Opera House,Dover,DE
New Clement Theatre,Sherbrooke,Quebec
Auditorium,Quebec,Quebec
