theater|city|state|1898|1899|1900|1901|1902|1903|1904|1905|1906|1907|1908|1909|1910
Hollis Street Theatre|BOSTON|MA|Isaac B. Rich|Rich & Harris|Rich & Harris|Rich & Harris|Rich & Harris|Isaac B. Rich|Isaac B. Rich|Isaac B. Rich|Isaac B. Rich|Isaac B. Rich|Isaac B. Rich|Isaac B. Rich|Isaac B. Rich
Museum|BOSTON|MA|R. M. Field, Charles Frohman and Rich & Harris|R. M. Field, Charles Frohman and Rich & Harris|R. M. Field, Charles Frohman and Rich & Harris|R. M. Field, Charles Frohman and Rich & Harris|R. M. Field, Charles Frohman and Rich & Harris||||||||
Providence Opera House|PROVIDENCE|RI|Felix R. Wendelschaefer|Felix R. Wendelschaefer|Felix R. Wendelschaefer|Felix R. Wendelschaefer|Felix R. Wendelschaefer|Felix R. Wendelschaefer|Felix R. Wendelschaefer|Felix R. Wendelschaefer|||||
Knickerbocker Theatre|NEW YORK|NY|Al. Hayman & Co.|Al. Hayman & Co.|Al. Hayman & Co.|Al. Hayman & Co.|Al. Hayman & Co.|Al. Hayman & Co.|Al. Hayman & Co.|Al. Hayman & Co.|Al. Hayman & Co.|Al. Hayman & Co.|Al. Hayman & Co.|Al. Hayman & Co.|Al. Hayman & Co.
Garrick Theatre|NEW YORK|NY|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|W. R. Reynolds|W. R. Reynolds|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman
Garden Theatre|NEW YORK|NY|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|||||||
Empire Theatre|NEW YORK|NY|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman|Charles Frohman
Columbia Theatre|BROOKLYN|NY|Al. Hayman and Daniel Frohman|Al. Hayman and Daniel Frohman|Al. Hayman and Daniel Frohman||||||||||
Montauk Theatre|BROOKLYN|NY|Col. William E. Sinn|Col. William E. Sinn|Isabel Sinn-Hecht|Isabel Sinn-Hecht|Isabel Sinn-Hecht|Isabel Sinn-Hecht|Isabel Sinn-Hecht||||||
Grand Opera House|BROOKLYN|NY|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|U. S. Amusement Co.|U. S. Amusement Co.
Amphion Theatre|BROOKLYN|NY|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.||||||
Gayety Theatre|BROOKLYN|NY|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|Hyde & Behman Co.|||||||||
